ID	SMILES	InChI	InChIKey
5,6-Butano-1,2,5,6-tetrahydropyrazine-2-one	C1CCC2C(C1)NC(=O)C=N2	InChI=1S/C8H12N2O/c11-8-5-9-6-3-1-2-4-7(6)10-8/h5-7H,1-4H2,(H,10,11)/t6-,7-/m0/s1	LHRGOVPAWZDMDA-BQBZGAKWSA-N
None	O=C1C=NC2CCCC[C@@H]2O1	InChI=1S/C8H11NO2/c10-8-5-9-6-3-1-2-4-7(6)11-8/h5-7H,1-4H2/t6-,7+/m1/s1	GHUCBYUTXYHSNP-RQJHMYQMSA-N
None	O=C1C=[N+](C)C2CCCCC2N1C	InChI=1S/C10H17N2O/c1-11-7-10(13)12(2)9-6-4-3-5-8(9)11/h7-9H,3-6H2,1-2H3/q+1/t8-,9+/m1/s1	YVKYCKRLTJVKLN-BDAKNGLRSA-N
unnamed	C1C2C1(C2)S(=O)(=O)C3=CC=CC=C3	InChI=1S/C10H10O2S/c11-13(12,10-6-8(10)7-10)9-4-2-1-3-5-9/h1-5,8H,6-7H2/t8-,10-	GJORDRKZOZLVKK-CZMCAQCFSA-N
1-(4-Methoxyphenyl)sulfonylbicyclo[1.1.0]butane	COC1=CC=C(C=C1)S(=O)(=O)C23CC2C3	InChI=1S/C11H12O3S/c1-14-9-2-4-10(5-3-9)15(12,13)11-6-8(11)7-11/h2-5,8H,6-7H2,1H3/t8-,11-	AWLDMZNTCYQVBK-JLIMDTESSA-N
unnamed	O=S(C1=CC=C(F)C=C1)(C23CC2C3)=O	InChI=1S/C10H9FO2S/c11-8-1-3-9(4-2-8)14(12,13)10-5-7(10)6-10/h1-4,7H,5-6H2/t7-,10-	GXVMRVJMZGCJSF-GVJMRKKJSA-N
unnamed	O=S(C1=CC=C(C(F)(F)F)C=C1)(C23CC2C3)=O	InChI=1S/C11H9F3O2S/c12-11(13,14)7-1-3-9(4-2-7)17(15,16)10-5-8(10)6-10/h1-4,8H,5-6H2/t8-,10-	GKSXGABMMZOHMC-CZMCAQCFSA-N
F72502	C1C2C1(C2)S(=O)(=O)C3=CC(=CC(=C3)F)F	InChI=1S/C10H8F2O2S/c11-7-1-8(12)3-9(2-7)15(13,14)10-4-6(10)5-10/h1-3,6H,4-5H2/t6-,10-	ZXHUKKDIEBKYLV-HDKIZWTHSA-N
unnamed	NC1=C2C(N(C[C@@H]3CCCN3C(C4(C5)C5C4)=O)N=C2C6=CC=C(OC7=CC(C#C)=CC=C7)C=C6)=NC=N1	InChI=1S/C29H26N6O2/c1-2-18-5-3-7-23(13-18)37-22-10-8-19(9-11-22)25-24-26(30)31-17-32-27(24)35(33-25)16-21-6-4-12-34(21)28(36)29-14-20(29)15-29/h1,3,5,7-11,13,17,20-21H,4,6,12,14-16H2,(H2,30,31,32)/t20-,21-,29?/m0/s1	XKPZFRMVWIQFOS-RLTOAWKYSA-N
unnamed	NC1=C2C(N(C[C@@H]3CCCCN3C(C4(C5)C5C4)=O)N=C2C6=CC=C(OC7=CC(C#C)=CC=C7)C=C6)=NC=N1	InChI=1S/C30H28N6O2/c1-2-19-6-5-8-24(14-19)38-23-11-9-20(10-12-23)26-25-27(31)32-18-33-28(25)36(34-26)17-22-7-3-4-13-35(22)29(37)30-15-21(30)16-30/h1,5-6,8-12,14,18,21-22H,3-4,7,13,15-17H2,(H2,31,32,33)/t21-,22-,30-/m0/s1	KBMZMNPHMFVDPF-PWWNZBMUSA-N
unnamed	O=C(C1(C2)C2C1)OCC3=CC=C(OCCOCOCOCC#C)C=C3	InChI=1S/C19H22O6/c1-2-7-21-13-23-14-22-8-9-24-17-5-3-15(4-6-17)12-25-18(20)19-10-16(19)11-19/h1,3-6,16H,7-14H2/t16-,19-	XMCLLCIBBXKVGD-RUCARUNLSA-N
alpha-SOH	CCC/C=C\1/C2=C(C=CCC2)C(=O)O1	InChI=1S/C12H14O2/c1-2-3-8-11-9-6-4-5-7-10(9)12(13)14-11/h5,7-8H,2-4,6H2,1H3/b11-8-	IQVQXVFMNOFTMU-FLIBITNWSA-N
Cpmd4	CC(=O)C(C(=O)N1CCN(C[C@@H]1CC#N)C2=NC(=NC3=C2C=NC(=C3F)C4=CC=CC5=C4C(=CC=C5)Cl)OCC67CCCN6CCC7)(O)O	InChI=1S/C35H35ClFN7O5/c1-21(45)35(47,48)32(46)44-17-16-42(19-23(44)10-13-38)31-25-18-39-29(24-8-2-6-22-7-3-9-26(36)27(22)24)28(37)30(25)40-33(41-31)49-20-34-11-4-14-43(34)15-5-12-34/h2-3,6-9,18,23,47-48H,4-5,10-12,14-17,19-20H2,1H3/t23-/m0/s1	ZDGGBHWCQNHVAV-QHCPKHFHSA-N
CC-1065	CC1=CNC2=C1C34CC3CN(C4=CC2=O)C(=O)C5=CC6=C7CCN(C7=C(C(=C6N5)OC)O)C(=O)C8=CC9=C1CCN(C1=C(C(=C9N8)OC)O)C(=O)N	InChI=1S/C37H33N7O8/c1-14-12-39-27-22(45)10-23-37(24(14)27)11-15(37)13-44(23)35(49)21-9-18-16-4-6-42(28(16)30(46)32(51-2)25(18)41-21)34(48)20-8-19-17-5-7-43(36(38)50)29(17)31(47)33(52-3)26(19)40-20/h8-10,12,15,39-41,46-47H,4-7,11,13H2,1-3H3,(H2,38,50)/t15-,37+/m0/s1	UOWVMDUEMSNCAV-AOSSJETFSA-N
Ammosamide C	C[N+]1=C2C3=C(C(=N)C(=C2N)Cl)NC(=CC3=C1)C(=O)N	InChI=1S/C12H10ClN5O/c1-18-3-4-2-5(12(16)19)17-10-6(4)11(18)9(15)7(13)8(10)14/h2-3H,1H3,(H5,14,15,16,19)/p+1	IZMHUQMKTPRWEW-UHFFFAOYSA-O
(3S)-3-[4-(3-Carboxy-4-hydroxyphenylsulfonylaminomethyl)benzoylamino]-4-oxo-5-(2,3,5,6-tetrafluorophenoxy)pentanoic acid	C1=CC(=CC=C1CNS(=O)(=O)C2=CC(=C(C=C2)O)C(=O)O)C(=O)N[C@@H](CC(=O)O)C(=O)COC3=C(C(=CC(=C3F)F)F)F	InChI=1S/C26H20F4N2O10S/c27-16-8-17(28)23(30)24(22(16)29)42-11-20(34)18(9-21(35)36)32-25(37)13-3-1-12(2-4-13)10-31-43(40,41)14-5-6-19(33)15(7-14)26(38)39/h1-8,18,31,33H,9-11H2,(H,32,37)(H,35,36)(H,38,39)/t18-/m0/s1	NLXBLTHXOSQPCX-SFHVURJKSA-N
Ceftazidime BATSI	B(CNC(=O)/C(=N\OC(C)(C)C(=O)O)/C1=CSC(=N1)N)(O)O	InChI=1S/C10H15BN4O6S/c1-10(2,8(17)18)21-15-6(5-3-22-9(12)14-5)7(16)13-4-11(19)20/h3,19-20H,4H2,1-2H3,(H2,12,14)(H,13,16)(H,17,18)/b15-6-	ZECCQELUYUPTSB-UUASQNMZSA-N
3-Carboxyphenyl((N-((4-iodophenyl)acetyl)amino)methyl)phosphonate	C1=CC(=CC(=C1)OP(=O)(CNC(=O)CC2=CC=C(C=C2)I)O)C(=O)O	InChI=1S/C16H15INO6P/c17-13-6-4-11(5-7-13)8-15(19)18-10-25(22,23)24-14-3-1-2-12(9-14)16(20)21/h1-7,9H,8,10H2,(H,18,19)(H,20,21)(H,22,23)	XKIXOGFDDUEBHT-UHFFFAOYSA-N
tert-butyl N-[1-[5-[(2-chloro-6-fluorophenyl)methylsulfonyl]-1,3,4-oxadiazol-2-yl]-2-methylpropyl]carbamate	CC(C)C(C1=NN=C(O1)S(=O)(=O)CC2=C(C=CC=C2Cl)F)NC(=O)OC(C)(C)C	InChI=1S/C18H23ClFN3O5S/c1-10(2)14(21-16(24)28-18(3,4)5)15-22-23-17(27-15)29(25,26)9-11-12(19)7-6-8-13(11)20/h6-8,10,14H,9H2,1-5H3,(H,21,24)/t14-/m1/s1	CTZZUWAZSPNALO-CQSZACIVSA-N
Diphenyl (1S,2R,3S)-1,3-dihydroxy-2-methylpentyl methanephosphonate	CC[C@@H]([C@@H](C)[C@@H](CP(=O)(OC1=CC=CC=C1)OC2=CC=CC=C2)O)O	InChI=1S/C19H25O5P/c1-3-18(20)15(2)19(21)14-25(22,23-16-10-6-4-7-11-16)24-17-12-8-5-9-13-17/h4-13,15,18-21H,3,14H2,1-2H3/t15-,18+,19-/m1/s1	RZDXKTRFSQUHCL-AYOQOUSVSA-N
Diphenyl (2R,3S)-3-hydroxy-2-methyl-1-oxopentyl methanephosphonate	CC[C@@H]([C@@H](C)C(=O)CP(=O)(OC1=CC=CC=C1)OC2=CC=CC=C2)O	InChI=1S/C19H23O5P/c1-3-18(20)15(2)19(21)14-25(22,23-16-10-6-4-7-11-16)24-17-12-8-5-9-13-17/h4-13,15,18,20H,3,14H2,1-2H3/t15-,18+/m1/s1	RPYWGERLOVLJMD-QAPCUYQASA-N
(5-Hexenyl)phosphonic acid (4-nitrophenyl)[[(4S)-2,2-dimethyl-1,3-dioxolane-4-yl]methyl] ester	CC1(OC[C@H](O1)CO[P+](CCCCC=C)([O-])OC2=CC=C(C=C2)[N+](=O)[O-])C	InChI=1S/C18H26NO7P/c1-4-5-6-7-12-27(22,24-14-17-13-23-18(2,3)25-17)26-16-10-8-15(9-11-16)19(20)21/h4,8-11,17H,1,5-7,12-14H2,2-3H3/t17-,27-/m0/s1	KJMBOCXAKPKUJO-SOKVYYICSA-N
Diphenyl N-(benzyloxycarbonyl)amino(4-amidinophenyl)methanephosphonate	C1=CC=C(C=C1)COC(=O)NC(C2=CC=C(C=C2)C(=N)N)P(=O)(OC3=CC=CC=C3)OC4=CC=CC=C4	InChI=1S/C28H26N3O5P/c29-26(30)22-16-18-23(19-17-22)27(31-28(32)34-20-21-10-4-1-5-11-21)37(33,35-24-12-6-2-7-13-24)36-25-14-8-3-9-15-25/h1-19,27H,20H2,(H3,29,30)(H,31,32)/t27-/m1/s1	WYCVSPRVSFUVMA-HHHXNRCGSA-N
Irosustat	C1CCC2=C(CC1)C(=O)OC3=C2C=CC(=C3)OS(=O)(=O)N	InChI=1S/C14H15NO5S/c15-21(17,18)20-9-6-7-11-10-4-2-1-3-5-12(10)14(16)19-13(11)8-9/h6-8H,1-5H2,(H2,15,17,18)	DSLPMJSGSBLWRE-UHFFFAOYSA-N
AM4	CC(C)(C)C1N(C(C)(C)CCOCCOCCOCCN2N=NC(CNC(CCC[C@@H]3SC[C@@](N4)([H])[C@]3([H])NC4=O)=O)=C2)C1=O	InChI=1S/C29H49N7O6S/c1-28(2,3)25-26(38)36(25)29(4,5)9-11-40-13-15-42-16-14-41-12-10-35-18-20(33-34-35)17-30-23(37)8-6-7-22-24-21(19-43-22)31-27(39)32-24/h18,21-22,24-25H,6-17,19H2,1-5H3,(H,30,37)(H2,31,32,39)/t21-,22-,24-,25+,36?/m0/s1	PIMDPTYUXPMVQK-AJUQWTHUSA-N
AM5	CC(C)(C)C1N(C(C)(C)CCOCCOCCOCCN2N=NC(CNC(CCCCC[C@]3([H])C([H])NC(N3)=O)=O)=C2)C1=O	InChI=1S/C29H51N7O6/c1-28(2,3)25-26(38)36(25)29(4,5)11-13-40-15-17-42-18-16-41-14-12-35-21-23(33-34-35)20-30-24(37)10-8-6-7-9-22-19-31-27(39)32-22/h21-22,25H,6-20H2,1-5H3,(H,30,37)(H2,31,32,39)/t22-,25-,36?/m1/s1	QELZCMVLVNVDDZ-LSCBAQIASA-N
ZINC44676396	CSC1=NN=C(N=N1)C2=CC=CC=C2	InChI=1S/C9H8N4S/c1-14-9-12-10-8(11-13-9)7-5-3-2-4-6-7/h2-6H,1H3	FHSAVBSTCXPEKO-UHFFFAOYSA-N
4-(6-methylsulfanyl-1,2,4,5-tetrazin-3-yl)benzonitrile	CSC1=NN=C(N=N1)C2=CC=C(C=C2)C#N	InChI=1S/C10H7N5S/c1-16-10-14-12-9(13-15-10)8-4-2-7(6-11)3-5-8/h2-5H,1H3	ZMQALCGUYMGQOU-UHFFFAOYSA-N
3-Methylsulfanyl-6-pyridin-4-yl-1,2,4,5-tetrazine	CSC1=NN=C(N=N1)C2=CC=NC=C2	InChI=1S/C8H7N5S/c1-14-8-12-10-7(11-13-8)6-2-4-9-5-3-6/h2-5H,1H3	IMDZXFTVYYSIBO-UHFFFAOYSA-N
3-Methylsulfanyl-6-[[1-phenyl-5-(trifluoromethyl)pyrazol-4-yl]methyl]-1,2,4,5-tetrazine	CSC1=NN=C(N=N1)CC2=C(N(N=C2)C3=CC=CC=C3)C(F)(F)F	InChI=1S/C14H11F3N6S/c1-24-13-21-19-11(20-22-13)7-9-8-18-23(12(9)14(15,16)17)10-5-3-2-4-6-10/h2-6,8H,7H2,1H3	VFSQZBVGTYVEKE-UHFFFAOYSA-N
None	CC1(C(C(C1OC2=CC(=C(C=C2)C#N)OC)(C)C)NC(=O)C3=CC=C(C=C3)N4CCC(CC4)CN5CCN(CC5)C6=CC(=C(C=C6)C(=O)N[C@H]7CCC(=O)NC7=O)F)C	InChI=1S/C45H54FN7O6/c1-44(2)42(45(3,4)43(44)59-33-12-8-30(26-47)37(25-33)58-5)50-39(55)29-6-9-31(10-7-29)52-18-16-28(17-19-52)27-51-20-22-53(23-21-51)32-11-13-34(35(46)24-32)40(56)48-36-14-15-38(54)49-41(36)57/h6-13,24-25,28,36,42-43H,14-23,27H2,1-5H3,(H,48,56)(H,50,55)(H,49,54,57)/t36-,42-,43+/m0/s1	RDPPBRKNBBXPNZ-KWGFMHBASA-N
3-Bromo-5,5-dimethyl-4,5-dihydroisoxazole	CC1(CC(=NO1)Br)C	InChI=1S/C5H8BrNO/c1-5(2)3-4(6)7-8-5/h3H2,1-2H3	OMKAMTCDOWAJAA-UHFFFAOYSA-N
3-chloro-4,5-dihydro-5,5-dimethyl-	CC1(CC(=NO1)Cl)C	InChI=1S/C5H8ClNO/c1-5(2)3-4(6)7-8-5/h3H2,1-2H3	YMCWJQIZJIKFHO-UHFFFAOYSA-N
myricetin	C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O	InChI=1S/C15H10O8/c16-6-3-7(17)11-10(4-6)23-15(14(22)13(11)21)5-1-8(18)12(20)9(19)2-5/h1-4,16-20,22H	IKMDFBPHZNJCSN-UHFFFAOYSA-N
4,4'-Dipyridyl sulfide	C1=CN=CC=C1SC2=CC=NC=C2	InChI=1S/C10H8N2S/c1-5-11-6-2-9(1)13-10-3-7-12-8-4-10/h1-8H	XGJOFCCBFCHEHK-UHFFFAOYSA-N
