ID	SMILES	InChI	InChIKey
4-deoxynivalenol	CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3(C[C@H]([C@H]([C@@]34CO4)O2)O)C)CO	InChI=1S/C15H20O6/c1-7-3-9-14(5-16,11(19)10(7)18)13(2)4-8(17)12(21-9)15(13)6-20-15/h3,8-9,11-12,16-17,19H,4-6H2,1-2H3/t8-,9-,11-,12-,13-,14-,15+/m1/s1	LINOMUASTDIRTM-QGRHZQQGSA-N
Dihydrovaltrate	CC(C)CC(=O)OCC1=CO[C@H]([C@H]2[C@@H]1C[C@@H]([C@]23CO3)OC(=O)C)OC(=O)CC(C)C	InChI=1S/C22H32O8/c1-12(2)6-18(24)26-9-15-10-27-21(30-19(25)7-13(3)4)20-16(15)8-17(29-14(5)23)22(20)11-28-22/h10,12-13,16-17,20-21H,6-9,11H2,1-5H3/t16-,17+,20-,21+,22-/m1/s1	PHHROXLDZHUIGO-PNBTUHDLSA-N
Anticapsin	C1CC(=O)[C@H]2[C@@H]([C@H]1C[C@@H](C(=O)O)N)O2	InChI=1S/C9H13NO4/c10-5(9(12)13)3-4-1-2-6(11)8-7(4)14-8/h4-5,7-8H,1-3,10H2,(H,12,13)/t4-,5+,7-,8+/m1/s1	KHVZXXWDPSCGEK-ROHCDXGRSA-N
Terreic acid	CC1=C(C(=O)[C@H]2[C@@H](C1=O)O2)O	InChI=1S/C7H6O4/c1-2-3(8)5(10)7-6(11-7)4(2)9/h6-8H,1H3/t6-,7+/m1/s1	ATFNSNUJZOYXFC-RQJHMYQMSA-N
psorospermin	C[C@@]1(CO1)[C@H]2CC3=C4C(=C(C=C3O2)OC)C(=O)C5=C(O4)C(=CC=C5)O	InChI=1S/C19H16O6/c1-19(8-23-19)14-6-10-12(24-14)7-13(22-2)15-16(21)9-4-3-5-11(20)17(9)25-18(10)15/h3-5,7,14,20H,6,8H2,1-2H3/t14-,19-/m1/s1	BBNDPXOGORGETN-AUUYWEPGSA-N
TNP-470	CC(=CC[C@@H]1[C@@](O1)(C)[C@H]2[C@@H]([C@@H](CC[C@]23CO3)OC(=O)NC(=O)CCl)OC)C	InChI=1S/C19H28ClNO6/c1-11(2)5-6-13-18(3,27-13)16-15(24-4)12(7-8-19(16)10-25-19)26-17(23)21-14(22)9-20/h5,12-13,15-16H,6-10H2,1-4H3,(H,21,22,23)/t12-,13-,15-,16-,18+,19+/m1/s1	MSHZHSPISPJWHW-PVDLLORBSA-N
beloranib	CC(=CC[C@@H]1[C@@](O1)(C)[C@H]2[C@@H]([C@@H](CC[C@]23CO3)OC(=O)/C=C/C4=CC=C(C=C4)OCCN(C)C)OC)C	InChI=1S/C29H41NO6/c1-20(2)7-13-24-28(3,36-24)27-26(32-6)23(15-16-29(27)19-34-29)35-25(31)14-10-21-8-11-22(12-9-21)33-18-17-30(4)5/h7-12,14,23-24,26-27H,13,15-19H2,1-6H3/b14-10+/t23-,24-,26-,27-,28+,29+/m1/s1	ZEZFKUBILQRZCK-MJSCXXSSSA-N
PPI-2458	CC(C)[C@H](C(=O)N)NC(=O)O[C@@H]1CC[C@]2(CO2)[C@H]([C@@H]1OC)[C@@]3([C@H](O3)CC=C(C)C)C	InChI=1S/C22H36N2O6/c1-12(2)7-8-15-21(5,30-15)18-17(27-6)14(9-10-22(18)11-28-22)29-20(26)24-16(13(3)4)19(23)25/h7,13-18H,8-11H2,1-6H3,(H2,23,25)(H,24,26)/t14-,15-,16-,17-,18-,21+,22+/m1/s1	QBDVVYNLLXGUGN-XGTBZJOHSA-N
dehydroxymethylepoxyquinomicin	C1=CC=C(C(=C1)C(=O)NC2=CC(=O)[C@@H]3[C@H]([C@H]2O)O3)O	InChI=1S/C13H11NO5/c15-8-4-2-1-3-6(8)13(18)14-7-5-9(16)11-12(19-11)10(7)17/h1-5,10-12,15,17H,(H,14,18)/t10-,11+,12-/m0/s1	IUOMATKBBPCLFR-TUAOUCFPSA-N
eponemycin	CC(C)CCCCC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=C)C)C(=O)[C@]1(CO1)CO	InChI=1S/C20H34N2O6/c1-13(2)7-5-6-8-17(25)21-16(10-23)19(27)22-15(9-14(3)4)18(26)20(11-24)12-28-20/h13,15-16,23-24H,3,5-12H2,1-2,4H3,(H,21,25)(H,22,27)/t15-,16-,20+/m0/s1	ZPLVYYNMRMBNGE-TWOQFEAHSA-N
epoxomicin	CC[C@H](C)[C@@H](C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(C)C)C(=O)[C@]1(CO1)C)NC(=O)[C@H]([C@@H](C)CC)N(C)C(=O)C	InChI=1S/C28H50N4O7/c1-11-16(5)21(30-27(38)23(17(6)12-2)32(10)19(8)34)25(36)31-22(18(7)33)26(37)29-20(13-15(3)4)24(35)28(9)14-39-28/h15-18,20-23,33H,11-14H2,1-10H3,(H,29,37)(H,30,38)(H,31,36)/t16-,17-,18+,20-,21-,22-,23-,28+/m0/s1	DOGIDQKFVLKMLQ-JTHVHQAWSA-N
None	O=C(O)[C@H]1C(O2)[C@@H]2CC[C@@H]1O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3NC(C)=O	InChI=1S/C15H23NO9/c1-5(18)16-10-12(20)11(19)8(4-17)25-15(10)24-6-2-3-7-13(23-7)9(6)14(21)22/h6-13,15,17,19-20H,2-4H2,1H3,(H,16,18)(H,21,22)/t6-,7-,8+,9+,10+,11+,12+,13-,15-/m0/s1	WXXMBWVOQQHKEZ-ITVHVFPGSA-N
2-(Trichloromethyl)oxirane	C1C(O1)C(Cl)(Cl)Cl	InChI=1S/C3H3Cl3O/c4-3(5,6)2-1-7-2/h2H,1H2/t2-/m0/s1	VFEXYZINKMLLAK-REOHCLBHSA-N
Epichlorohydrin	C1C(O1)CCl	InChI=1S/C3H5ClO/c4-1-3-2-5-3/h3H,1-2H2/t3-/m0/s1	BRLQWZUYTZBJKN-VKHMYHEASA-N
Epibromohydrin	C1C(O1)CBr	InChI=1S/C3H5BrO/c4-1-3-2-5-3/h3H,1-2H2/t3-/m1/s1	GKIPXFAANLTWBM-GSVOUGTGSA-N
Epifluorohydrin	C1C(O1)CF	InChI=1S/C3H5FO/c4-1-3-2-5-3/h3H,1-2H2/t3-/m1/s1	OIFAHDAXIUURLN-GSVOUGTGSA-N
Glycidol	C1C(O1)CO	InChI=1S/C3H6O2/c4-1-3-2-5-3/h3-4H,1-2H2/t3-/m1/s1	CTKINSOISVBQLD-GSVOUGTGSA-N
Glycidaldehyde	C1C(O1)C=O	InChI=1S/C3H4O2/c4-1-3-2-5-3/h1,3H,2H2/t3-/m0/s1	IWYRWIUNAVNFPE-VKHMYHEASA-N
2-Chlorooxirane	C1C(O1)Cl	InChI=1S/C2H3ClO/c3-2-1-4-2/h2H,1H2/t2-/m0/s1	WBNCHVFLFSFIGK-REOHCLBHSA-N
CA074	CCCNC(=O)[C@@H]1[C@H](O1)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N2CCC[C@H]2C(=O)O	InChI=1S/C18H29N3O6/c1-4-8-19-15(22)13-14(27-13)16(23)20-12(10(3)5-2)17(24)21-9-6-7-11(21)18(25)26/h10-14H,4-9H2,1-3H3,(H,19,22)(H,20,23)(H,25,26)/t10-,11-,12-,13-,14-/m0/s1	ZEZGJKSEBRELAS-PEDHHIEDSA-N
Loxistatin acid	CC(C)CCNC(=O)[C@H](CC(C)C)NC(=O)[C@@H]1[C@H](O1)C(=O)O	InChI=1S/C15H26N2O5/c1-8(2)5-6-16-13(18)10(7-9(3)4)17-14(19)11-12(22-11)15(20)21/h8-12H,5-7H2,1-4H3,(H,16,18)(H,17,19)(H,20,21)/t10-,11-,12-/m0/s1	SCMSYZJDIQPSDI-SRVKXCTJSA-N
