ID	SMILES	InChI	InChIKey
dehydrocostuslactone	C=C1CC[C@@H]2[C@@H]([C@@H]3[C@H]1CCC3=C)OC(=O)C2=C	InChI=1S/C15H18O2/c1-8-4-7-12-10(3)15(16)17-14(12)13-9(2)5-6-11(8)13/h11-14H,1-7H2/t11-,12-,13-,14-/m0/s1	NETSQGRTUNRXEO-XUXIUFHCSA-N
DienoneB	C1=C(C(=O)C(=CC1(CC(=O)N)O)Br)Br	InChI=1S/C8H7Br2NO3/c9-4-1-8(14,3-6(11)12)2-5(10)7(4)13/h1-2,14H,3H2,(H2,11,12)	OPJJYFWUWHEWDE-UHFFFAOYSA-N
triptolide	CC(C)[C@@]12[C@@H](O1)[C@H]3[C@@]4(O3)[C@]5(CCC6=C([C@@H]5C[C@H]7[C@]4([C@@H]2O)O7)COC6=O)C	InChI=1S/C20H24O6/c1-8(2)18-13(25-18)14-20(26-14)17(3)5-4-9-10(7-23-15(9)21)11(17)6-12-19(20,24-12)16(18)22/h8,11-14,16,22H,4-7H2,1-3H3/t11-,12-,13-,14-,16+,17-,18-,19+,20+/m0/s1	DFBIRQPKNDILPW-CIVMWXNOSA-N
celastrol	CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4C[C@](CC5)(C)C(=O)O)C)C)C)C)O	InChI=1S/C29H38O4/c1-17-18-7-8-21-27(4,19(18)15-20(30)23(17)31)12-14-29(6)22-16-26(3,24(32)33)10-9-25(22,2)11-13-28(21,29)5/h7-8,15,22,31H,9-14,16H2,1-6H3,(H,32,33)/t22-,25-,26-,27+,28-,29+/m1/s1	KQJSQWZMSAGSHN-JJWQIEBTSA-N
AnguinomycinA	CC(CC=CC(=CC(C)C(=O)C(C)C(C(C)CC(=CC(=O)O)C)O)C)C=C(C)C=CC1CC=CC(=O)O1	InChI=1S/C31H44O6/c1-20(16-22(3)14-15-27-12-9-13-29(34)37-27)10-8-11-21(2)17-24(5)30(35)26(7)31(36)25(6)18-23(4)19-28(32)33/h8-9,11,13-17,19-20,24-27,31,36H,10,12,18H2,1-7H3,(H,32,33)/b11-8-,15-14-,21-17-,22-16+,23-19+/t20-,24+,25-,26-,27+,31-/m1/s1	SGYKTDIJCLHSET-HTLVFGEQSA-N
lipstatin	CCCCCC[C@H]1[C@@H](OC1=O)C[C@H](C/C=C\C/C=C\CCCCC)OC(=O)[C@H](CC(C)C)NC=O	InChI=1S/C29H49NO5/c1-5-7-9-11-12-13-14-15-16-18-24(34-29(33)26(30-22-31)20-23(3)4)21-27-25(28(32)35-27)19-17-10-8-6-2/h12-13,15-16,22-27H,5-11,14,17-21H2,1-4H3,(H,30,31)/b13-12-,16-15-/t24-,25-,26-,27-/m0/s1	OQMAKWGYQLJJIA-CUOOPAIESA-N
SRC-2	C[C@H]1[C@@H]2CC[C@]3(C[C@H](C(=O)[C@H]([C@@H]3[C@H]2OC1=O)C)Br)C	InChI=1S/C15H21BrO3/c1-7-9-4-5-15(3)6-10(16)12(17)8(2)11(15)13(9)19-14(7)18/h7-11,13H,4-6H2,1-3H3/t7-,8-,9-,10+,11+,13-,15-/m0/s1	GYRJMKLTOVDJSG-MELONOIFSA-N
salinosporamideB	CC[C@H]1C(=O)N[C@@]2([C@]1(OC2=O)C)[C@H]([C@H]3CCCC=C3)O	InChI=1S/C15H21NO4/c1-3-10-12(18)16-15(13(19)20-14(10,15)2)11(17)9-7-5-4-6-8-9/h5,7,9-11,17H,3-4,6,8H2,1-2H3,(H,16,18)/t9-,10+,11+,14+,15+/m1/s1	SCJZQKFFYIGMCI-SHTIJGAHSA-N
penicillin G	CC1([C@@H](N2[C@H](S1=O)[C@@H](C2=O)NC(=O)C3=CC=CC=C3)C(=O)OC(C4=CC=CC=C4)C5=CC=CC=C5)C	InChI=1S/C28H26N2O5S/c1-28(2)23(27(33)35-22(18-12-6-3-7-13-18)19-14-8-4-9-15-19)30-25(32)21(26(30)36(28)34)29-24(31)20-16-10-5-11-17-20/h3-17,21-23,26H,1-2H3,(H,29,31)/t21-,23+,26-,36+/m1/s1	MPRIHCHLMOZDFF-MNGWQICSSA-N
G12Si-5	C1CC2(CCCN2C1)COC3=NC4=C(C(=NC=C4C(=N3)N5CC[C@@H]6[C@H](C5)OC6=O)C7=CC=CC8=C7C(=CC=C8)Cl)F	InChI=1S/C31H29ClFN5O3/c32-22-8-2-6-18-5-1-7-20(24(18)22)26-25(33)27-21(15-34-26)28(37-14-9-19-23(16-37)41-29(19)39)36-30(35-27)40-17-31-10-3-12-38(31)13-4-11-31/h1-2,5-8,15,19,23H,3-4,9-14,16-17H2/t19-,23+/m1/s1	PUOCGYIRJRNMJS-XXBNENTESA-N
