ID	SMILES	InChI	InChIKey
itaconate	C=C(CC(=O)O)C(=O)O	InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h1-2H2,(H,6,7)(H,8,9)	LVHBHZANLOWSRM-UHFFFAOYSA-N
4-bromo flavone	C1=CC=C2C(=C1)C(=O)C=C(O2)C3=CC=C(C=C3)Br	InChI=1S/C15H9BrO2/c16-11-7-5-10(6-8-11)15-9-13(17)12-3-1-2-4-14(12)18-15/h1-9H	URZUAHXELZUWFE-UHFFFAOYSA-N
9-Nitrooleate	C1=CC=C(C=C1)CN=C=S	InChI=1S/C8H7NS/c10-7-9-6-8-4-2-1-3-5-8/h1-5H,6H2	MDKCFLQDBWCQCV-UHFFFAOYSA-N
3-Acetyl-4,5-dimethyl-5-hydroxy-1,5-dihydro-2h-pyrrol-2-one	CC1=C(C(=O)NC1(C)O)C(=O)C	InChI=1S/C8H11NO3/c1-4-6(5(2)10)7(11)9-8(4,3)12/h12H,1-3H3,(H,9,11)/t8-/m1/s1	DHZJIJWGYQXKFT-MRVPVSSYSA-N
methyl vinyl ketone	CC(=O)C=C	InChI=1S/C4H6O/c1-3-4(2)5/h3H,1H2,2H3	FUSUHKVFWTUUBE-UHFFFAOYSA-N
acrylamide	C=CC(=O)N	InChI=1S/C3H5NO/c1-2-3(4)5/h2H,1H2,(H2,4,5)	HRPVXLWXLXDGHG-UHFFFAOYSA-N
methylacrylate	COC(=O)C=C	InChI=1S/C4H6O2/c1-3-4(5)6-2/h3H,1H2,2H3	BAPJBEWLBFYGME-UHFFFAOYSA-N
acrolein	C=CC=O	InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2	HGINCPLSRVDWNT-UHFFFAOYSA-N
pentenal	CCCCC=O	InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3	HGBOYTHUEUWSSQ-UHFFFAOYSA-N
ethylacrylate	CCOC(=O)C=C	InChI=1S/C5H8O2/c1-3-5(6)7-4-2/h3H,1,4H2,2H3	JIGUQPWFLRLWPJ-UHFFFAOYSA-N
n-butylacrylate	CCCCOC(=O)C=C	InChI=1S/C7H12O2/c1-3-5-6-9-7(8)4-2/h4H,2-3,5-6H2,1H3	CQEYYJKEWSMYFG-UHFFFAOYSA-N
6-shogaol	C1=CC=C(C=C1)C(=O)CCl	InChI=1S/C8H7ClO/c9-6-8(10)7-4-2-1-3-5-7/h1-5H,6H2	IMACFCSSMIZSPP-UHFFFAOYSA-N
n-propylacrylate	CCCOC(=O)C=C	InChI=1S/C6H10O2/c1-3-5-8-6(7)4-2/h4H,2-3,5H2,1H3	PNXMTCDJUBJHQJ-UHFFFAOYSA-N
2-cyclopenten-1-one	C1CC(=O)C=C1	InChI=1S/C5H6O/c6-5-3-1-2-4-5/h1,3H,2,4H2	BZKFMUIJRXWWQK-UHFFFAOYSA-N
1-pentene-3-one	CCC(=O)C=C	InChI=1S/C5H8O/c1-3-5(6)4-2/h3H,1,4H2,2H3	JLIDVCMBCGBIEY-UHFFFAOYSA-N
1-hexene-3-one	CCCC(=O)C=C	InChI=1S/C6H10O/c1-3-5-6(7)4-2/h4H,2-3,5H2,1H3	JTHNLKXLWOXOQK-UHFFFAOYSA-N
supercinnamaldehyde	CC(=O)/C=C/1\C2=CC=CC=C2N(C1=O)C	InChI=1S/C12H11NO2/c1-8(14)7-10-9-5-3-4-6-11(9)13(2)12(10)15/h3-7H,1-2H3/b10-7+	CZKBLHCEDVWPRN-JXMROGBWSA-N
