,Unnamed: 0.1,Unnamed: 0,SMILES
0,0,0,[H]OC(c1c([H])c([H])c2c(c1[H])OC([H])([H])O2)(c1c([H])c([H])c2c(c1[H])OC([H])([H])O2)C1([H])C([H])([H])C([H])([H])N(C(=O)Oc2c([H])c([H])c([N+](=O)[O-])c([H])c2[H])C([H])([H])C1([H])[H]
1,1,1,[H]O[C@@]([H])(C(F)(F)F)C([H])([H])OC(=O)N1C([H])([H])[C@@]2([H])[C@]([H])(c3nn(-c4c([H])c([H])c(F)c([H])c4[H])c([H])c3[H])[C@@]2([H])C1([H])[H]
2,2,2,[H]c1c([H])c(-n2nc([C@@]3([H])[C@]4([H])C([H])([H])N(C(=O)Oc5c([H])c([H])c([N+](=O)[O-])c([H])c5[H])C([H])([H])[C@]34[H])c([H])c2[H])c([H])c([H])c1F
3,3,3,[H]c1c([H])c(-n2nc([C@@]3([H])[C@]4([H])C([H])([H])N(C(=O)O[C@@]([H])(C(F)(F)F)C([H])([H])OC([H])([H])[H])C([H])([H])[C@]34[H])c([H])c2[H])c([H])c([H])c1F
4,4,4,[H]c1c([H])c(-n2nc([C@@]3([H])[C@]4([H])C([H])([H])N(C(=O)OC([H])(C(F)(F)F)C(F)(F)F)C([H])([H])[C@]34[H])c([H])c2[H])c([H])c([H])c1F
5,5,5,[H]c1c([H])c(-n2nc([C@@]3([H])[C@]4([H])C([H])([H])N(C(=O)ON5C(=O)C([H])([H])C([H])([H])C5=O)C([H])([H])[C@]34[H])c([H])c2[H])c([H])c([H])c1F
6,6,6,[H]OC([H])([H])[C@@]([H])(OC(=O)N1C([H])([H])[C@@]2([H])[C@]([H])(c3nn(-c4c([H])c([H])c(F)c([H])c4[H])c([H])c3[H])[C@@]2([H])C1([H])[H])C(F)(F)F
7,7,7,[H]OC([H])([H])C([H])([H])[C@@]([H])(OC(=O)N1C([H])([H])[C@@]2([H])[C@]([H])(c3nn(-c4c([H])c([H])c(F)c([H])c4[H])c([H])c3[H])[C@@]2([H])C1([H])[H])C(F)(F)F
8,8,8,[H]c1c([H])c(-n2nc([C@@]3([H])[C@]4([H])C([H])([H])N(C(=O)O[C@]([H])(C([H])([H])F)C(F)(F)F)C([H])([H])[C@]34[H])c([H])c2[H])c([H])c([H])c1F
9,9,9,[H]OC([H])([H])[C@]([H])(OC(=O)N1C([H])([H])[C@@]2([H])[C@]([H])(c3nn(-c4c([H])c([H])c(F)c([H])c4[H])c([H])c3[H])[C@@]2([H])C1([H])[H])C(F)(F)F
10,10,10,[H]c1c([H])c(-n2nc([C@@]3([H])[C@]4([H])C([H])([H])N(C(=O)OC([H])(C([H])([H])[H])C(F)(F)F)C([H])([H])[C@]34[H])c([H])c2[H])c([H])c([H])c1F
11,11,11,[H]OC([H])([H])C([H])(OC(=O)N1C([H])([H])[C@@]2([H])[C@]([H])(c3nn(-c4c([H])c([H])c(F)c([H])c4[H])c([H])c3[H])[C@@]2([H])C1([H])[H])C(F)(F)F
12,12,12,[H]c1c([H])c(-n2nc([C@@]3([H])[C@]4([H])C([H])([H])N(C(=O)OC([H])([H])C(F)(F)F)C([H])([H])[C@]34[H])c([H])c2[H])c([H])c([H])c1F
13,13,13,[H]c1c([H])c([H])c(-n2nc(C3([H])C([H])([H])N(C(=O)OC([H])(C(F)(F)F)C(F)(F)F)C3([H])[H])c([H])c2[H])c([H])c1[H]
14,14,14,[H]c1nc(N2C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])nc(C2([H])C([H])([H])N(C(=O)OC([H])(C(F)(F)F)C(F)(F)F)C2([H])[H])c1[H]
15,15,15,[H]c1c([H])c([H])c(-c2c([H])c(C3([H])C([H])([H])N(C(=O)OC([H])(C(F)(F)F)C(F)(F)F)C3([H])[H])nn2-c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
16,16,16,[H]c1c([H])c([H])c(C([H])([H])n2nc(C3([H])C([H])([H])N(C(=O)OC([H])(C(F)(F)F)C(F)(F)F)C3([H])[H])c([H])c2[H])c([H])c1[H]
17,17,17,[H]C#Cc1c([H])c([H])c(-n2nc(C3([H])C([H])([H])N(C(=O)OC([H])(C(F)(F)F)C(F)(F)F)C3([H])[H])c([H])c2[H])c([H])c1[H]
18,18,18,[H]c1nc([H])c(-n2nc(C3([H])C([H])([H])N(C(=O)OC([H])(C(F)(F)F)C(F)(F)F)C3([H])[H])c([H])c2[H])nc1[H]
19,19,19,[H]c1nc(N2C([H])([H])C([H])([H])N(C3([H])C([H])([H])N(C(=O)OC([H])(C(F)(F)F)C(F)(F)F)C3([H])[H])C([H])([H])C2([H])[H])nc([H])c1[H]
20,20,20,[H]c1c([H])c([H])c(-c2noc(C3([H])C([H])([H])N(C(=O)OC([H])(C(F)(F)F)C(F)(F)F)C3([H])[H])n2)c([H])c1[H]
21,21,21,[H]c1c([H])c([H])c(-n2nc(C3([H])C([H])([H])C([H])([H])N(C(=O)OC([H])(C(F)(F)F)C(F)(F)F)C([H])([H])C3([H])[H])c([H])c2[H])c([H])c1[H]
22,22,22,[H]c1c([H])c(-n2nc(C3([H])C([H])([H])N(C(=O)OC([H])(C(F)(F)F)C(F)(F)F)C3([H])[H])c([H])c2[H])c([H])c(F)c1F
23,23,23,[H]c1c(C2([H])C([H])([H])N(C(=O)OC([H])(C(F)(F)F)C(F)(F)F)C2([H])[H])nn(C2([H])C([H])([H])C([H])([H])OC([H])([H])C2([H])[H])c1[H]
24,24,24,[H]c1c(C2([H])C([H])([H])N(C(=O)OC([H])(C(F)(F)F)C(F)(F)F)C2([H])[H])nn(C([H])([H])[H])c1[H]
25,25,25,[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])C([H])([H])[H])nc1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
26,26,26,[H]c1c([H])c([H])c(-c2c([H])c([H])c(-c3nnn(C(=O)N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])C([H])([H])c4c([H])c([H])c([H])c([H])c4[H])c3[H])c([H])c2[H])c([H])c1[H]
27,27,27,[H]c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])C([H])([H])[H])nc1-c1c([H])c([H])c(-c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
28,28,28,[H]C#CC([H])([H])O[C@@]1([H])C([H])([H])N(C(=O)n2nc([H])c(C(O[H])(c3c([H])c([H])c(F)c([H])c3[H])c3c([H])c([H])c(F)c([H])c3[H])n2)[C@@]([H])(C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])C([H])([H])C1([H])[H]
29,29,29,[H]OC(c1nn(C(=O)N2C([H])([H])[C@]([H])(OC([H])([H])C3([H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H]
30,30,30,[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])Oc2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
31,31,31,[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H]
32,32,32,[H]OC(c1nn(C(=O)N2C([H])([H])[C@@]([H])(O[H])C([H])=C([H])[C@]2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H]
33,33,33,[H]c1c([H])c([H])c(-c2c([H])c([H])c(-c3nnn(C(=O)N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]4([H])C([H])([H])c4c([H])c([H])c([H])c([H])c4[H])c3[H])c([H])c2[H])c([H])c1[H]
34,34,34,[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])[H]
35,35,35,[H]OC(c1nn(C(=O)N2C([H])([H])[C@]([H])(O[H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H]
36,36,36,[H]OC(c1nn(C(=O)N2C([H])([H])[C@]([H])(OC([H])([H])[H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H]
37,37,37,[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])Oc2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H]
38,38,38,[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])Oc2c([H])c([H])c(F)c([H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H]
39,39,39,[H]OC(c1nn(C(=O)N2C([H])([H])[C@@]([H])(OC([H])([H])[H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H]
40,40,40,[H]c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1C(OC([H])([H])[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H]
41,41,41,[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H])C1([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
42,42,42,[H]OC(c1nn(C(=O)N2C([H])([H])[C@]([H])(O[H])C([H])=C([H])[C@]2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H]
43,43,43,[H]c1c([H])c([H])c(-c2c([H])c([H])c(-c3nnn(C(=O)N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]4([H])C([H])([H])c4c([H])c([H])c([H])c([H])c4[H])c3[H])c([H])c2[H])c([H])c1[H]
44,44,44,[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])c2c([H])c([H])c([H])c(OC([H])([H])[H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H]
45,45,45,[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1nc([H])c([H])c([H])c1[H])c1nc([H])c([H])c([H])c1[H]
46,46,46,[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H]
47,47,47,[H]OC1(c2nn(C(=O)N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])nc2[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H]
48,48,48,[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
49,49,49,[H]c1c([H])c([H])c(-c2c([H])c([H])c(-c3nnn(C(=O)N4C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])C([H])([H])C([H])([H])[H])c3[H])c([H])c2[H])c([H])c1[H]
50,50,50,[H]OC(c1nn(C(=O)N2C([H])([H])[C@@]([H])(OC([H])([H])C3([H])C([H])([H])C3([H])[H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H]
51,51,51,[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H]
52,52,52,[H]OC(c1nnn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
53,53,53,[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(C([H])([H])[H])C([H])([H])[H]
54,54,54,[H]OC(c1nn(C(=O)N2C([H])([H])[C@@]([H])(O[H])C([H])([H])C([H])([H])[C@]2([H])C([H])([H])c2c([H])c([H])c([H])c([H])c2[H])nc1[H])(c1c([H])c([H])c(F)c([H])c1[H])c1c([H])c([H])c(F)c([H])c1[H]
55,55,55,[H]OC(c1nn(C(=O)N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])C([H])([H])Oc2c([H])c([H])c(F)c([H])c2[H])nc1[H])(c1c([H])c([H])c([H])c([H])c1[H])c1c([H])c([H])c([H])c([H])c1[H]
56,56,56,[H]c1c([H])c2c(c([H])c1OC(=O)N([H])C([H])([H])[H])[C@]1(C([H])([H])[H])C([H])([H])C([H])([H])N(C([H])([H])[H])[C@]1([H])N2C([H])([H])[H]
57,57,57,[H]c1c([H])c(Cl)c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c1[H]
58,58,58,[H]c1c([H])c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c(Cl)c1[H]
59,59,59,[H]c1c([H])c2c(c([H])c1OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])(c1c([H])c([H])c(C([H])([H])[H])c([H])c1[H])N2C([H])([H])[H]
60,60,60,[H]c1c([H])c(C([H])([H])[H])c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c1[H]
61,61,61,[H]c1c([H])c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c(C([H])([H])[H])c1[H]
62,62,62,[H]c1c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c([H])c([H])c1OC([H])([H])[H]
63,63,63,[H]c1c([H])c(OC([H])([H])[H])c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c1[H]
64,64,64,[H]c1c([H])c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c(OC([H])([H])[H])c1[H]
65,65,65,[H]c1c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c([H])c([H])c1F
66,66,66,[H]c1c([H])c2c(c([H])c1OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])(c1c([H])c([H])c(C(F)(F)F)c([H])c1[H])N2C([H])([H])[H]
67,67,67,[H]c1nc([H])c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c1[H]
68,68,68,[H]c1nc([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c([H])c1[H]
69,69,69,[H]c1sc([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c1[H]
70,70,70,[H]c1sc(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c([H])c1[H]
71,71,71,[H]c1oc([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c1[H]
72,72,72,[H]c1c([H])c2c(c([H])c1OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])(c1c([H])c([H])n([H])c1[H])N2C([H])([H])[H]
73,73,73,[H]c1c([H])c2c(c([H])c1OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])(c1c([H])c([H])c([H])c3c([H])c([H])c([H])c([H])c13)N2C([H])([H])[H]
74,74,74,[H]c1c([H])c2c(c([H])c1OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])N(C([H])([H])[H])C([H])(c1c([H])c([H])c3c([H])c([H])c([H])c([H])c3c1[H])N2C([H])([H])[H]
75,75,75,[H]c1c([H])c(Cl)c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])[H])c(Cl)c1[H]
76,76,76,[H]c1c([H])c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H]
77,77,77,[H]c1c([H])c([H])c(C2([H])N(C([H])([H])[H])c3c([H])c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c3C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])[H])c([H])c1[H]
78,78,78,[H]c1c([H])c([H])c(C([H])([H])N2C([H])([H])c3c([H])c(OC(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c([H])c3N(C([H])([H])[H])C2([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H]
