SMILES,source_file
[H]OC(c1c([H])c([H])c2c(c1[H])OC([H])([H])O2)(c1c([H])c([H])c2c(c1[H])OC([H])([H])O2)C1([H])C([H])([H])C([H])([H])N(C(=O)Oc2c([H])c([H])c([N+](=O)[O-])c([H])c2[H])C([H])([H])C1([H])[H],trainingset_covalent_smiles.csv
[H]O[C@@]([H])(C(F)(F)F)C([H])([H])OC(=O)N1C([H])([H])[C@@]2([H])[C@]([H])(c3nn(-c4c([H])c([H])c(F)c([H])c4[H])c([H])c3[H])[C@@]2([H])C1([H])[H],trainingset_covalent_smiles.csv
[H]c1c([H])c(-n2nc([C@@]3([H])[C@]4([H])C([H])([H])N(C(=O)Oc5c([H])c([H])c([N+](=O)[O-])c([H])c5[H])C([H])([H])[C@]34[H])c([H])c2[H])c([H])c([H])c1F,trainingset_covalent_smiles.csv
[H]c1c([H])c(-n2nc([C@@]3([H])[C@]4([H])C([H])([H])N(C(=O)O[C@@]([H])(C(F)(F)F)C([H])([H])OC([H])([H])[H])C([H])([H])[C@]34[H])c([H])c2[H])c([H])c([H])c1F,trainingset_covalent_smiles.csv
[H]c1c([H])c(-n2nc([C@@]3([H])[C@]4([H])C([H])([H])N(C(=O)OC([H])(C(F)(F)F)C(F)(F)F)C([H])([H])[C@]34[H])c([H])c2[H])c([H])c([H])c1F,trainingset_covalent_smiles.csv
[H]c1c([H])c(-n2nc([C@@]3([H])[C@]4([H])C([H])([H])N(C(=O)ON5C(=O)C([H])([H])C([H])([H])C5=O)C([H])([H])[C@]34[H])c([H])c2[H])c([H])c([H])c1F,trainingset_covalent_smiles.csv
[H]OC([H])([H])[C@@]([H])(OC(=O)N1C([H])([H])[C@@]2([H])[C@]([H])(c3nn(-c4c([H])c([H])c(F)c([H])c4[H])c([H])c3[H])[C@@]2([H])C1([H])[H])C(F)(F)F,trainingset_covalent_smiles.csv
[H]OC([H])([H])C([H])([H])[C@@]([H])(OC(=O)N1C([H])([H])[C@@]2([H])[C@]([H])(c3nn(-c4c([H])c([H])c(F)c([H])c4[H])c([H])c3[H])[C@@]2([H])C1([H])[H])C(F)(F)F,trainingset_covalent_smiles.csv
[H]c1c([H])c(-n2nc([C@@]3([H])[C@]4([H])C([H])([H])N(C(=O)O[C@]([H])(C([H])([H])F)C(F)(F)F)C([H])([H])[C@]34[H])c([H])c2[H])c([H])c([H])c1F,trainingset_covalent_smiles.csv
[H]OC([H])([H])[C@]([H])(OC(=O)N1C([H])([H])[C@@]2([H])[C@]([H])(c3nn(-c4c([H])c([H])c(F)c([H])c4[H])c([H])c3[H])[C@@]2([H])C1([H])[H])C(F)(F)F,trainingset_covalent_smiles.csv
