Alkylation,Covalent,Insecticide,Prodrug,Exclude
DB00236,DB00188,DB00265Ê,DB00165,DB00200
DB00236,DB00213,DB00431,DB00211,DB00325
DB00262,DB00319,DB00446,DB00227,DB00534
DB00291,DB00355,DB00648,DB00389,DB01370
DB00305,DB00415,DB00772,DB00426,DB01592
DB00428,DB00417,DB00911,DB00426,DB01593
DB00531,DB00438,DB01096,DB00492,DB01641
DB00791,DB00447,DB04930,DB00519,DB01703
DB00851,DB00451,DB04930,DB00654,DB01710
DB00853,DB00493,DB08823,DB00718,DB01788
DB00888,DB00567,DB09350,DB00790,DB01968
DB01008,DB00607,DB11090,DB00951,DB02108
DB01008,DB00671,DB11373,DB00968,DB02133
DB01042,DB00677,DB11390,DB00992,DB02137
DB01096,DB00713,DB11392,DB01014,DB02140
DB01181,DB00727,DB11397,DB01066,DB02173
DB01196,DB00736,DB11408,DB01101,DB02183
DB01206,DB00752,DB11412,DB01250,DB02190
DB02892,DB00760,DB11413,DB01255,DB02235
DB03228,DB00766,DB11419,DB01262,DB02298
DB04106,DB00766Ê,DB11421,DB01357,DB02313
DB04572,DB00780,DB11424,DB01408,DB02457
DB06091,DB00822,DB11438,DB01452,DB02459
DB06769,DB00828,DB11448,DB01605,DB02468
DB09274,DB00847,DB11495,DB02638,DB02511
DB09348,DB00894,DB11497,DB04138,DB02514
DB09499,DB00945,DB12231,DB04359,DB02528
DB11678,DB00981,DB12780,DB04972,DB02577
DB11688,DB00989,DB13245,DB05057,DB02579
DB12060,DB00990,DB13245,DB05154,DB02588
DB12679,DB01034,DB13258,DB05521,DB02627
DB12832,DB01037,DB13475,DB05524,DB02766
DB12902,DB01053,DB13495,DB05737,DB02825
DB13069,DB01057,DB13512,DB06321,DB02832
DB13304,DB01080,DB13724,DB06478,DB02855
DB13319,DB01083,DB13752,DB06598,DB02876
DB13334,DB01126,DB14178,DB06717,DB02885
DB13339,DB01129,DB15006,DB07565,DB02949Ê
DB13543,DB01147,DB15666,DB08439,DB02956
DB13647,DB01171,DB15666,DB08906,DB03169
DB13677,DB01212,DB16164,DB08909,DB03224
DB13832,DB01326,DB16547,DB09119,DB03382
DB14674,DB01330,,DB09212,DB03384
DB15026,DB01331,,DB11473,DB03417
DB15147,DB01333,,DB11717,DB03437
DB16627,DB01367,,DB11796,DB03445
,DB01598,,DB11799,DB03530
,DB01606,,DB11820,DB03720
,DB01607,,DB11921,DB03813
,DB01626,,DB11936,DB03834
,DB01683,,DB11989,DB03842
,DB01703,,DB11994,DB03864
,DB01795,,DB12004,DB03890
,DB01858,,DB12445,DB03895
,DB01871,,DB12474,DB03920
,DB01896,,DB13946,DB03934
,DB01963,,DB13997,DB03963
,DB01984,,DB14185,DB03978
,DB02005,,DB14669,DB04031
,DB02035,,DB14761,DB04053
,DB02051,,DB14821,DB04133
,DB02094,,DB16627,DB04138
,DB02095,,DB16741,DB04146
,DB02108,,DB17398,DB04156
,DB02122,,,DB04164
,DB02128,,,DB04212
,DB02140,,,DB04229
,DB02200,,,DB04340
,DB02211,,,DB04347
,DB02243,,,DB04415
,DB02292,,,DB04427
,DB02308,,,DB04447
,DB02400,,,DB04472
,DB02465,,,DB04488
,DB02480,,,DB04491
,DB02503,,,DB04634
,DB02614,,,DB04646
,DB02784,,,DB04654
,DB02797,,,DB04668
,DB02799,,,DB04740
,DB02812,,,DB04742
,DB02828,,,DB04930
,DB02841,,,DB05054
,DB02858,,,DB05219
,DB02869,,,DB05714
,DB02967,,,DB06215
,DB03078,,,DB06723
,DB03114,,,DB06792
,DB03124,,,DB06865
,DB03129,,,DB06912
,DB03140,,,DB07023
,DB03214,,,DB07169
,DB03251,,,DB07293
,DB03297,,,DB07383
,DB03372,,,DB07510
,DB03405,,,DB07529
,DB03456,,,DB07533
,DB03475,,,DB07534
,DB03530,,,DB07636
,DB03535,,,DB07669
,DB03536,,,DB08007
,DB03587,,,DB08038
,DB03642,,,DB08116
,DB03754,,,DB08227
,DB03760,,,DB08270
,DB03767,,,DB08287
,DB03818,,,DB08337
,DB03837,,,DB08374
,DB03890,,,DB08375
,DB03894,,,DB08378
,DB03903,,,DB08431
,DB03948,,,DB08433
,DB03984,,,DB08462
,DB04017,,,DB08501
,DB04021,,,DB08515
,DB04033,,,DB08548
,DB04085,,,DB08611
,DB04109,,,DB08612
,DB04188,,,DB08640
,DB04234,,,DB08644
,DB04244,,,DB08646
,DB04269,,,DB08689
,DB04278,,,DB08755
,DB04342,,,DB08759
,DB04360,,,DB08763
,DB04369,,,DB08938
,DB04381,,,DB09146
,DB04488,,,DB09160
,DB04491,,,DB09281
,DB04498,,,DB09418
,DB04502,,,DB09535
,DB04517,,,DB11081
,DB04523,,,DB11127
,DB04570,,,DB11135
,DB04579,,,DB11137
,DB04613,,,DB11197
,DB04634,,,DB11210
,DB04647,,,DB11248
,DB04653,,,DB11255
,DB04692,,,DB11279
,DB04710,,,DB11326
,DB04732,,,DB11413
,DB04876,,,DB11419
,DB05102,,,DB11436
,DB05219,,,DB11573
,DB05424,,,DB11723
,DB05448,,,DB11762
,DB05465,,,DB11831
,DB05521,,,DB11962
,DB05524,,,DB12040
,DB05719,,,DB12337
,DB05983,,,DB12358
,DB06021,,,DB12630
,DB06182,,,DB12965
,DB06211,,,DB13058
,DB06328,,,DB13063
,DB06335,,,DB13076
,DB06670,,,DB13220
,DB06841,,,DB13235
,DB06886,,,DB13235
,DB06913,,,DB13257
,DB07231,,,DB13258
,DB07293,,,DB13509
,DB07299,,,DB13569
,DB07347,,,DB13639
,DB07380,,,DB13690
,DB07418,,,DB13698
,DB07466,,,DB13712
,DB07587,,,DB13971
,DB07592,,,DB14085
,DB07593,,,DB14154
,DB07744,,,DB14160
,DB07749,,,DB14193
,DB07956,,,DB14201
,DB08059,,,DB14488
,DB08116,,,DB14489
,DB08119,,,DB14490
,DB08171,,,DB14491
,DB08213,,,DB14492
,DB08217,,,DB14493
,DB08251,,,DB14494
,DB08302,,,DB14495
,DB08374,,,DB14497
,DB08400,,,DB14498
,DB08420,,,DB14499
,DB08433,,,DB14500
,DB08435,,,DB14505
,DB08462,,,DB14513
,DB08551,,,DB14518
,DB08552,,,DB14520
,DB08564,,,DB14528
,DB08594,,,DB14529
,DB08603,,,DB14548
,DB08752,,,DB14553
,DB08775,,,DB14807
,DB08889,,,DB15086
,DB08905,,,DB15163
,DB08908,,,DB15202
,DB08916,,,DB15684
,DB09041,,,DB15797
,DB09053,,,DB15878
,DB09060,,,DB16340
,DB09096,,,DB17408
,DB09246,,,
,DB09247,,,
,DB09249,,,
,DB09250,,,
,DB09251,,,
,DB09253,,,
,DB09324,,,
,DB09330,,,
,DB09570,,,
,DB11091,,,
,DB11203,,,
,DB11592,,,
,DB11723,,,
,DB11744,,,
,DB11762,,,
,DB11764,,,
,DB11828,,,
,DB11907,,,
,DB11919,,,
,DB11942,,,
,DB11956,,,
,DB11963,,,
,DB12012,,,
,DB12036,,,
,DB12107,,,
,DB12114,,,
,DB12129,,,
,DB12298,,,
,DB12377,,,
,DB12422,,,
,DB12467,,,
,DB12601,,,
,DB12651,,,
,DB12679,,,
,DB13002,,,
,DB13063,,,
,DB13086,,,
,DB13101,,,
,DB13164,,,
,DB13495,,,
,DB14031,,,
,DB14121,,,
,DB14219,,,
,DB14768,,,
,DB14924,,,
,DB14944,,,
,DB14993,,,
,DB15035,,,
,DB15149,,,
,DB15169,,,
,DB15170,,,
,DB15173,,,
,DB15205,,,
,DB15227,,,
,DB15251,,,
,DB15327,,,
,DB15568Ê,,,
,DB15569,,,
,DB15586,,,
,DB15796,,,
,DB15797,,,
,DB15905,,,
,DB16030,,,
,DB16050,,,
,DB16087,,,
,DB16103,,,
,DB16167,,,
,DB16216,,,
,DB16228,,,
,DB16250,,,
,DB16272,,,
,DB16299,,,
,DB16338,,,
,DB16390,,,
,DB16446,,,
,DB16627,,,
,DB16640,,,
,DB16691,,,
,DB16735,,,
,DB16737,,,
,DB16773,,,
,DB16845Ê,,,
,DB16895,,,
,DB17035Ê,,,
,DB17048,,,
,DB17234,,,
,DB17399,,,
,DB17481,,,
