PubChemID,Type,SMILES,covalent
42601513,general,CC(C)C1C=CC(=O)NCCC=CC(C(=O)N1)NC(=O)C(C(C)C)NC(=O)NC(C(C)C)C(=O)O,1
5311211,general,CCCCCC=CC=C1C(C=CC1=O)CC=CCCCC(=O)O,1
265237,general,CC1=C(C(=O)OC(C1)C(C)C2CCC3C2(CCC4C3CC5C6(C4(C(=O)C=CC6O)C)O5)C)CO,1
6438503,general,CC(=CCC1=C(C=CC(=C1O)C(=O)C=CC2=CC=C(C=C2)O)OC)C,1
5318517,general,CC12CCC(C(C1CCC(=C)C2CC=C3C(COC3=O)O)(C)CO)O,1
7251185,general,CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C,1
6917907,general,CCC(=CC(C)CC=CC(=CC(C)C(=O)C(C)C(C(C)CC(=CC(=O)O)C)O)C)C=CC1C(C=CC(=O)O1)C,1
11719255,general,CC1(C=CC2=C(O1)C=CC3=C2[N+](=C4C3=CC56C(C4(C)C)CC7(CCCN7C5=O)C(=O)N6)[O-])C,1
28032,general,C1=C(C(=O)NC1=O)C2C(C(C(O2)CO)O)O,1
9865731,general,CC1C(C2C=C(C3CC4C(C3C2C1O)C5=C6C(C(CCC4(O6)C)OC5=O)C)C)O,1
312145,general,CC(=O)OC1CC2(C(CCC2=O)C3=C1C4(C(OC(=O)C5=COC(=C54)C3=O)COC)C)C,1
9996986,general,CC12CCC(=O)C3=COC(=C31)C(=O)C4=CC5=C(C=CC(=C5C=C24)O)O,1
370346,general,CC12CCC(=O)C3=COC(=C31)C(=O)C4=C2C=C5C(=O)C=CC(=O)C5=C4,1
3035912,general,CC1=C2C=C(C=C(C2=CC=C1)C(=O)OC(C(=O)NC(=C3C(C(C4N3C4)O)OC(=O)C)C(=O)NCC(=O)C)C5(CO5)C)OC,1
10770715,general,CCC(C(=O)NC(CCCN=C(N)N)C=CC(=O)O)NC(=O)CC(C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C1C(N1)C(=O)O)O,1
446987,general,CC1C(O1)P(=O)(O)O,1
6917655,general,CC(=CCC1C(O1)(C)C2C(C(CCC23CO3)OC(=O)C=CC=CC=CC=CC(=O)O)OC)C,1
123985,general,CC(C)CC(C(=O)NCCCCN=C(N)N)NC(=O)C1C(O1)C(=O)O,1
637511,general,C1=CC=C(C=C1)C=CC=O,1
445434,general,CC1C(NC(=O)C(NC(=O)C(C(NC(=O)C(NC(=O)C(NC(=O)C(=C)N(C(=O)CCC(NC1=O)C(=O)O)C)C)CC(C)C)C(=O)O)C)CCCN=C(N)N)C=CC(=CC(C)C(CC2=CC=CC=C2)OC)C,1
969516,general,COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,1
5470187,general,CC1=CCC(C=CC(=O)C(=CCC1)C)(C)C,1
11497184,general,CCC1C=CC(=O)OC1C=CC(CCN)(C(CC(C=CC=CC2CCCCC2)O)OP(=O)(O)O)O,1
6438891,general,CCC1C=CC(=O)OC1CC(C(C)C(C(C)CC=CC)OC)O,1
101677420,general,CC(=CCOC1=CC=C(C=C1)CCN(C)C(=O)C=CS(=O)(=O)C)C,1
10092280,general,CC(C)CCCCC(=O)NC(CO)C(=O)NC(CC(=C)C)C(=O)C1(CO1)CO,1
11226684,general,CCC(C)C(C(=O)NC(C(C)O)C(=O)NC(CC(C)C)C(=O)C1(CO1)C)NC(=O)C(C(C)CC)N(C)C(=O)C,1
395803,general,C1CC2C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2C1)CC3=CC=CC=C3)CC4=CC=CC=C4)CCCCCC(=O)C5CO5,1
107985,general,CC(C)C12C(O1)C3C4(O3)C5(CCC6=C(C5CC7C4(C2O)O7)COC6=O)C,1
344200,general,CC1=C2C(C(C=C2C(=O)C(C13CC3)(C)O)(C)CO)O,1
115369,general,COC1=C(C(=C2C(=C1)C=C(N2)C(=O)N3CC4CC45C3=CC(=O)C6=C5C=C(N6)C(=O)OC)OC)OC,1
6369652,general,CCC(C)C(C(C)C(=O)C(C)C=C(C)CC(C)C1C(C(=O)O1)C)O,1
6436821,general,CCC1C(OC1=O)C(C)CC(=CC(C)C(=O)C(C)C(C(C)CC)O)C,1
6440895,general,CC(CCCCC1C(C(=O)O1)CO)CC(=CC(=CC(=O)O)C)C,1
9805651,general,CCCCCCC1C(OC1=O)CC(CC=CCC=CCCCCC)OC(=O)C(CC(C)C)NC=O,1
11347535,general,CC12C(C(=O)NC1(C(=O)O2)C(C3CCCC=C3)O)CCCl,1
195004,general,CCCCCCC1C(OC1=O)CC(CCCCC)OC(=O)C(C(C)C)NC=O,1
146354,general,C1=CC(=C(C(=C1)O)O)C(=O)NC2C(OC2=O)CC3=CC=C(C=C3)[N+](=O)[O-],1
9794358,general,CC1C2C(C(=O)O2)(NC1=O)C(C(C)C)O,1
16095274,general,CC(=CCC12C=C(CC1OC2=O)CO)C,1
9881937,general,CC(=O)NC1CON(C1=O)C2(CCC(=O)O2)C(=O)O,1
5983,general,CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C,1
294641,general,C1C(ON=C1Cl)C(C(=O)O)N,1
54676038,general,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,1
2346,general,C1=CC=C(C=C1)CN=C=S,1
5386591,general,C=CCSSC=CCS(=O)CC=C,1
5287991,general,C1CC2C(=O)NC(C(=O)C(=O)NC(C(=O)NC(C=CC(=O)NCC(C(=O)N2C1)NC=O)CC3=CC=C(C=C3)O)CC4=CC=CC=C4)CCCN=C(N)N,1
11528958,Myeloperoxidase,CC(C)OCCN1C2=C(C(=O)NC1=S)NC=C2,1
71571306,Myeloperoxidase,COC1=C(C=C(C=C1)Cl)C2=CC(=O)NC(=S)N2CC(=O)N,1
10264211,Myeloperoxidase,C1CC(OC1)CN2C3=C(C(=O)NC2=S)NC=N3,1
121362450,Myeloperoxidase,CC(C1=C(C=CC(=C1)Cl)CN2C3=C(C(=O)NC2=S)NC=C3)N,1
3194,TRV,C1=CC=C(C=C1)N2C(=O)C3=CC=CC=C3[Se]2,1
5350,TRV,CS(=O)CCCCN=C=S,1
5971,TRV,C=CCN=C=S,1
7847,TRV,C=CC=O,1
10757,TRV,C1=CC=C(C=C1)C(=O)CCl,1
17604,TRV,C1=CC=C(C(=C1)C=C(C#N)C#N)Cl,1
31244,TRV,COC1=CC=C(C=C1)C=O,1
65036,TRV,C=CCSS(=O)CC=C,1
70261,TRV,CN1C(=O)C=CC1=O,1
447466,TRV,CC=CC=O,1
5280880,TRV,CCCCCC(C=CC1C=CC(=O)C1CC=CCCCC(=O)O)O,1
5283344,TRV,CCCCCC(C=CC=O)O,1
5319022,TRV,CCCC=C1C2=C(C=CCC2)C(=O)O1,1
5321950,TRV,CC=C(C)C=O,1
5364752,TRV,CCC=CC=O,1
10084135,TRV,CC=CC=CC=CCCC=CC(=O)NCC(C)(C)O,1
12315512,TRV,CCCCCC=CC(=O)CCC1=CC(=C(C=C1)O)OC,1
12480411,TRV,CC(=O)C=C1C2=CC=CC=C2N(C1=O)C,1
18524489,TRV,COCCCN(C1=NC(=CS1)C2=CC=C(C=C2)OC)C(=O)CCl,1
53412232,TRV,CCCCCCCCC=C(CCCCCCCC(=O)[O-])[N+](=O)[O-],1
53443082,TRV,CS(=O)(=S)OCCN,1
53788247,TRV,CC1=NSC=C1C2=NNC(=N2)C,1
53790973,TRV,CCOC=C(C(=O)C1CC1)C(=O)C2=C(C(=C(C=C2)Cl)Cl)N(C)C(=O)OCC,1
66624158,TRV,C1=CC=C2C(=C1)C=NOC3=CC=CC=C23,1
81065532,TRV,CCC(CC(=O)O)CNC(=O)C1=CC=C(C=C1)OCC,1
