ID,SMILES
1,P(=O)(OCN1C(=O)C(NC1=O)(c1ccccc1)c1ccccc1)(O)O
2,O1[C@@H](CC(=CC1=O)OC)/C=C/C1=CCCC=C1
3,Clc1cc2N[C@@H](N(S(=O)(=O)c2cc1S(=O)(=O)N)C)CSCC(F)(F)F
4,Clc1c(S(=O)(=O)N)cc2c(N[C@@H](NC2=O)CC)c1
5,S1[C@H]2N(C(=O)[C@H]2NC(=O)[C@H](O)c2ccccc2)C(=C(C1)CSc1n(nnn1)C)C(=O)O
6,S1[C@H]2N(C(=O)[C@H]2NC(=O)Cn2nnnc2)C(=C(C1)CSc1sc(nn1)C)C(=O)O
7,S1[C@H]2N(C(=O)[C@H]2NC(=O)[C@H](O)c2ccccc2)C(=C(C1)CSc1n(nnn1)CS(O)([O])[O])C(=O)O
8,S1[C@H]2N(C(=O)[C@H]2NC(=O)[C@H](NC(=O)N2CCN(C(=O)C2=O)CC)c2ccc(O)cc2)C(=C(C1)CSc1n(nnn1)C)C(=O)O
9,S1[C@H]2N(C(=O)[C@@]2(OC)NC(=O)Cc2sccc2)C(=C(C1)COC(=O)N)C(=O)O
10,S1[C@H]2N(C(=O)[C@H]2NC(=O)/C(=N\OC)/c2nc(sc2)N)C(=CC1)C(=O)O
11,O1C2(OC[C@H]1C[N]C(=[NH2])N)CCCCC2
12,S1[C@H]2N(C(=O)[C@H]2NC(=O)[C@H]([NH3])C2=CCC=CC2)C(=C(C1)C)C(=O)[O]
13,O1c2c3[C@H]([N](CCc3cc(OC)c2OC)(C)C)Cc2cc(Oc3cc4[C@@H]([N](CCc4cc3OC)(C)C)Cc3ccc1cc3)c(OC)cc2
14,O([C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4([C@@H](CC3)C[C@H](OC(=O)C)[C@@H]([N]3(CCCCC3)C)C4)C)CC2)C[C@@H]1[N]1(CCCCC1)C)C)C(=O)C
15,O([C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4([C@@H](CC3)C[C@H](OC(=O)C)[C@@H](N3CC[N](CC3)(C)C)C4)C)CC2)C[C@@H]1N1CC[N](CC1)(C)C)C)C(=O)C
16,O([C@@H]1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4([C@@H](CC3)C[C@H](OC(=O)C)[C@@H](N3CCCCC3)C4)C)CC2)C[C@@H]1[N]1(CCCCC1)C)C)C(=O)C
17,O=C1N2[N@@](CCC[C@@H]1[NH2][C@@H](CCc1ccccc1)C(=O)OCC)CCC[C@H]2C(=O)[O]
18,N1([N]C(=N[C]1CCCC)CCCC)Cc1ccc(nc1)c1c(cccc1)c1n[nH]nn1
19,Brc1c2cc(Cn3c(c(nc3CC)C3CC3)C(=O)N)ccc2oc1c1c(NS(=O)(=O)C(F)(F)F)cccc1
20,S1C2(SCC1)C[C@H](N(C2)C(=O)[C@@H](N[C@@H](CCc1ccccc1)C(=O)OCC)C)C(=O)O
21,O=C1N(c2nc(nc(c2CC1)C)C)Cc1ccc(cc1)c1c(cccc1)c1n[nH]nn1
22,O([C@@H]1[C@@H]2[C@H]([C@H](C=CC2=C[C@@H](C1)C)C)CC[C@H]1OC(=O)C[C@H](O)C1)C(=O)[C@H](CC)C
23,O=C1NC(=O)NC(=O)C1(CCC(C)C)CC
24,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C
25,O=C1NC(=O)NC(=O)C1(CCCC)CC
26,O=C1NC(=O)NC(=O)C1(C1=CCCCCC1)CC
27,O=C1N(C(=O)NC(=O)[C@]1(C1=CCCCC1)C)C
28,O[C@@]1([C@@]2([C@H]([C@H]3[C@H](CC2)c2c(CC3)cc(OC)cc2)CC1)C)C#C
29,O(c1c(C2CCCC2)cccc1)C[C@@H](O)CNC(C)(C)C
30,Ic1c(N(C[C@@H](O)CO)C(=O)C)c(I)c(c(I)c1C(=O)NC[C@@H](O)CO)C(=O)NC[C@@H](O)CO
31,O[C@@H]([C@@H](NC)C)c1ccccc1
32,N(C(Cc1ccccc1)(C)C)C
33,Cl[C@@H](F)C(F)(F)OC(F)F
34,O[C@H]([C@H](NC(C)C)CC)c1c2c([nH]c(=O)cc2)c(O)cc1
35,N([C@@H]1CCc2c1cccc2)CC#C
36,O[C@]1([C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC(=O)CC4)CC3)C)C(=O)C2)CC1)C)C(=O)COC(=O)C
37,S(=O)(=O)(Nc1ncc(OCCOC)cn1)c1ccccc1
38,F[C@H]1C[C@H]2[C@H]3[C@@]([C@](O)([C@@H](C3)C)C(=O)CO)(C[C@H](O)[C@@H]2[C@@]2(C1=CC(=O)C=C2)C)C
39,Fc1cc2c([C@@H]([C@](OC(=O)COC)(CC2)CCN(CCCc2[nH]c3c(n2)cccc3)C)C(C)C)cc1
40,O[C@@H]1[C@@H]([C@@H]2[C@H](C[N@@]3[C@@H](C2)c2[nH]c4c(c2CC3)cccc4)CC1)C(=O)OC
41,Clc1ccc(C(=O)NCCc2ccc(OC(C)(C)C(=O)O)cc2)cc1
42,O(c1c2-c3c([C@@H](NC(=O)C)CCc2cc(OC)c1OC)cc(=O)c(OC)cc3)C
43,O1[C@]2([C@@H]3[C@H]([C@@H]4[C@@]2(CC[C@H]2[C@H]4[C@@H]4[C@@H](C4)C4=CC(=O)CC[C@]24C)C)C3)CCC1=O
44,S1[C@H]2N(C(=O)[C@H]2NC(=O)Cc2nc(sc2)N)C(=C(C1)CSc1n(nnn1)CCN(C)C)C(=O)O
45,O(c1c(cccc1)C(=O)O)C(=O)c1c(O)cccc1
46,O(c1cc([N](C)(C)C)ccc1)C(=O)N(C)C
